,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Paredon,MX,81.59,overcast clouds,16.03,-93.87,Hotel Principal Paredon
336,Morant Bay,JM,82.4,broken clouds,17.88,-76.41,Whispering Bamboo Cove Resort
340,Bowen,AU,87.8,clear sky,-20.02,148.23,Castle Motor Lodge Motel
343,Kattivakkam,IN,82.4,mist,13.22,80.32,St. Joseph Thirumana mandapam
351,Iquitos,PE,77.22,clear sky,-3.75,-73.25,Cortez Malaga Techy Caroly
352,Lethem,GY,81.23,broken clouds,3.38,-59.8,Savannah Inn
360,Guantanamo,CU,82.4,broken clouds,20.14,-75.21,Hotel Marti
378,Bontang,ID,82.0,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
380,San Patricio,US,70.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
390,Xam Nua,LA,71.17,broken clouds,20.42,104.04,Phoudy Guesthouse
391,Prieska,ZA,71.4,clear sky,-29.66,22.75,Avenue GuestHouse
395,Waingapu,ID,87.49,overcast clouds,-9.66,120.26,Pondok Wisata Elim
396,Monywa,MM,79.57,overcast clouds,22.12,95.13,Monywa Hotel
398,Ballarpur,IN,75.45,clear sky,19.83,79.35,Central Railway Guest House
399,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
410,Conceicao Do Araguaia,BR,74.19,moderate rain,-8.26,-49.26,Tarumã Tropical Hotel
411,Presidencia Roque Saenz Pena,AR,77.7,clear sky,-26.79,-60.44,Hotel Aconcagua
415,Kisangani,CD,70.86,moderate rain,0.52,25.2,Grand Ramela Hotel
417,Porbandar,IN,75.2,scattered clouds,21.64,69.61,Lords Inn Porbandar
419,Kalmunai,LK,81.68,overcast clouds,7.42,81.82,VS Villa
420,Manta,EC,73.4,overcast clouds,-0.95,-80.73,Balandra Hotel
422,Yeppoon,AU,77.0,light rain,-23.13,150.73,Villa Mar Colina
423,Salinopolis,BR,79.0,clear sky,-0.61,-47.36,Hotel Salinópolis
426,Jatara,IN,74.08,clear sky,25.02,79.05,Vya Parivar
429,Brusque,BR,73.4,broken clouds,-27.1,-48.92,Monthez Hotel e Eventos
436,Sharjah,AE,77.0,clear sky,25.36,55.4,Swiss Belhotel Sharjah
438,Sedhiou,SN,76.77,clear sky,12.71,-15.56,Hotel De Ville
439,Qena,EG,71.6,clear sky,26.16,32.72,"Grand hotel ""Quena"""
441,Elat,IL,77.0,clear sky,29.56,34.95,Club Hotel Eilat
442,Road Town,VG,82.99,overcast clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
445,Tual,ID,82.85,scattered clouds,-5.67,132.75,Grand Vilia Hotel
451,Segou,ML,77.79,few clouds,13.43,-6.22,Comme chez soi
453,Bilma,NE,71.83,clear sky,18.69,12.92,Expeditions Ténére voyages
468,Palmas,BR,77.0,scattered clouds,-10.21,-48.36,Hotel Lago da Palma
469,Puerto Escondido,MX,81.19,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
471,Matara,LK,80.42,overcast clouds,5.95,80.54,Amaloh Boutique Resort
478,Maceio,BR,73.4,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
481,Port-Gentil,GA,78.33,overcast clouds,-0.72,8.78,Fengshui Residence
482,Guiuan,PH,82.49,moderate rain,11.03,125.72,Khaishra Hotel
483,Celestun,MX,80.62,scattered clouds,20.87,-90.4,Posada Lilia
